BindingEnergy_eV,Intensity
0.00,25.0
0.40,0.0
0.80,0.0
1.20,0.0
1.60,25.0
2.00,12.5
2.40,37.5
2.80,0.0
3.20,25.0
3.60,0.0
4.00,12.5
4.40,0.0
4.80,25.0
5.20,0.0
5.60,0.0
6.00,0.0
6.40,12.5
6.80,12.5
7.20,12.5
7.60,25.0
8.00,37.5
8.40,25.0
8.80,25.0
9.20,12.5
9.60,50.0
10.00,0.0
10.40,12.5
10.80,12.5
11.20,12.5
11.60,25.0
12.00,37.5
12.40,50.0
12.80,12.5
13.20,75.0
13.60,50.0
14.00,50.0
14.40,50.0
14.80,75.0
15.20,50.0
15.60,50.0
16.00,37.5
16.40,50.0
16.80,37.5
17.20,100.0
17.60,37.5
18.00,25.0
18.40,75.0
18.80,50.0
19.20,100.0
19.60,25.0
20.00,75.0
20.40,37.5
20.80,12.5
21.20,62.5
21.60,37.5
22.00,137.5
22.40,37.5
22.80,137.5
23.20,62.5
23.60,75.0
24.00,100.0
24.40,87.5
24.80,62.5
25.20,50.0
25.60,62.5
26.00,125.0
26.40,50.0
26.80,112.5
27.20,100.0
27.60,100.0
28.00,100.0
28.40,125.0
28.80,150.0
29.20,250.0
29.60,262.5
30.00,250.0
30.40,375.0
30.80,462.5
31.20,500.0
31.60,562.5
32.00,662.5
32.40,675.0
32.80,850.0
33.20,750.0
33.60,900.0
34.00,575.0
34.40,887.5
34.80,512.5
35.20,650.0
35.60,637.5
36.00,575.0
36.40,562.5
36.80,650.0
37.20,737.5
37.60,687.5
38.00,900.0
38.40,875.0
38.80,887.5
39.20,775.0
39.60,612.5
40.00,512.5
40.40,637.5
40.80,637.5
41.20,562.5
41.60,587.5
42.00,512.5
42.40,637.5
42.80,537.5
43.20,487.5
43.60,437.5
44.00,300.0
44.40,362.5
44.80,250.0
45.20,275.0
45.60,337.5
46.00,275.0
46.40,212.5
46.80,362.5
47.20,250.0
47.60,312.5
48.00,300.0
48.40,375.0
48.80,375.0
49.20,475.0
49.60,637.5
50.00,500.0
50.40,512.5
50.80,650.0
51.20,850.0
51.60,962.5
52.00,1012.5
52.40,1537.5
52.80,1337.5
53.20,1762.5
53.60,1850.0
54.00,2050.0
54.40,2312.5
54.80,2087.5
55.20,2100.0
55.60,1825.0
56.00,2087.5
56.40,1800.0
56.80,1712.5
57.20,1475.0
57.60,1312.5
58.00,1137.5
58.40,1637.5
58.80,1412.5
59.20,1725.0
59.60,1700.0
60.00,2037.5
60.40,1962.5
60.80,2700.0
61.20,1975.0
61.60,2275.0
62.00,2112.5
62.40,2162.5
62.80,1787.5
63.20,1512.5
63.60,1400.0
64.00,1262.5
64.40,1062.5
64.80,775.0
65.20,800.0
65.60,700.0
66.00,575.0
66.40,762.5
66.80,825.0
67.20,862.5
67.60,750.0
68.00,612.5
68.40,787.5
68.80,750.0
69.20,637.5
69.60,900.0
70.00,712.5
70.40,737.5
70.80,775.0
71.20,725.0
71.60,750.0
72.00,812.5
72.40,600.0
72.80,950.0
73.20,925.0
73.60,862.5
74.00,862.5
74.40,787.5
74.80,812.5
75.20,862.5
75.60,725.0
76.00,1025.0
76.40,725.0
76.80,1037.5
77.20,875.0
77.60,787.5
78.00,1012.5
78.40,1025.0
78.80,987.5
79.20,1100.0
79.60,800.0
80.00,1050.0
80.40,850.0
80.80,987.5
81.20,900.0
81.60,1012.5
82.00,962.5
82.40,1000.0
82.80,850.0
83.20,1112.5
83.60,1112.5
84.00,1125.0
84.40,1062.5
84.80,1162.5
85.20,1212.5
85.60,1262.5
86.00,1037.5
86.40,1237.5
86.80,1062.5
87.20,1025.0
87.60,1275.0
88.00,1125.0
88.40,1075.0
88.80,1125.0
89.20,1087.5
89.60,1200.0
90.00,1037.5
90.40,1137.5
90.80,1075.0
91.20,1287.5
91.60,1262.5
92.00,975.0
92.40,1262.5
92.80,1350.0
93.20,1150.0
93.60,1262.5
94.00,1075.0
94.40,1125.0
94.80,1125.0
95.20,1200.0
95.60,1287.5
96.00,1212.5
96.40,1325.0
96.80,1737.5
97.20,2050.0
97.60,2037.5
98.00,2762.5
98.40,2875.0
98.80,3500.0
99.20,3475.0
99.60,3887.5
100.00,3450.0
100.40,3100.0
100.80,2837.5
101.20,2162.5
101.60,1962.5
102.00,1862.5
102.40,1487.5
102.80,1937.5
103.20,1550.0
103.60,2187.5
104.00,2075.0
104.40,2850.0
104.80,2850.0
105.20,3250.0
105.60,3512.5
106.00,3050.0
106.40,3350.0
106.80,2637.5
107.20,2362.5
107.60,1650.0
108.00,1675.0
108.40,1637.5
108.80,1587.5
109.20,1062.5
109.60,1250.0
110.00,962.5
110.40,1187.5
110.80,950.0
111.20,1025.0
111.60,950.0
112.00,1162.5
112.40,1250.0
112.80,1037.5
113.20,1375.0
113.60,1050.0
114.00,1187.5
114.40,1100.0
114.80,1075.0
115.20,1200.0
115.60,1050.0
116.00,1162.5
116.40,1162.5
116.80,1200.0
117.20,1400.0
117.60,1412.5
118.00,1500.0
118.40,1650.0
118.80,1475.0
119.20,1200.0
119.60,1362.5
120.00,1537.5
120.40,1375.0
120.80,1625.0
121.20,1250.0
121.60,1550.0
122.00,1512.5
122.40,1562.5
122.80,1587.5
123.20,1737.5
123.60,1675.0
124.00,1837.5
124.40,1487.5
124.80,1887.5
125.20,1737.5
125.60,1800.0
126.00,1687.5
126.40,1750.0
126.80,1750.0
127.20,1712.5
127.60,1600.0
128.00,1925.0
128.40,1912.5
128.80,1725.0
129.20,1937.5
129.60,1800.0
130.00,1575.0
130.40,1850.0
130.80,1887.5
131.20,1925.0
131.60,1875.0
132.00,1612.5
132.40,1662.5
132.80,1562.5
133.20,1537.5
133.60,1687.5
134.00,1387.5
134.40,1300.0
134.80,1675.0
135.20,1712.5
135.60,1637.5
136.00,1862.5
136.40,2012.5
136.80,1712.5
137.20,1587.5
137.60,1975.0
138.00,1812.5
138.40,2075.0
138.80,2150.0
139.20,1687.5
139.60,1987.5
140.00,1850.0
140.40,2025.0
140.80,2462.5
141.20,2525.0
141.60,2675.0
142.00,3175.0
142.40,2862.5
142.80,3800.0
143.20,3900.0
143.60,4387.5
144.00,4262.5
144.40,4587.5
144.80,4200.0
145.20,4150.0
145.60,4000.0
146.00,3262.5
146.40,3237.5
146.80,2725.0
147.20,2962.5
147.60,2987.5
148.00,2987.5
148.40,3212.5
148.80,4012.5
149.20,4150.0
149.60,4325.0
150.00,4412.5
150.40,4437.5
150.80,4012.5
151.20,3550.0
151.60,3262.5
152.00,2850.0
152.40,2850.0
152.80,2050.0
153.20,2450.0
153.60,1775.0
154.00,2175.0
154.40,1825.0
154.80,2175.0
155.20,1837.5
155.60,1862.5
156.00,1687.5
156.40,1775.0
156.80,1462.5
157.20,1837.5
157.60,1900.0
158.00,2200.0
158.40,1887.5
158.80,1950.0
159.20,1900.0
159.60,2225.0
160.00,2175.0
160.40,2100.0
160.80,2262.5
161.20,1937.5
161.60,2137.5
162.00,1937.5
162.40,2087.5
162.80,2250.0
163.20,1962.5
163.60,2212.5
164.00,2200.0
164.40,2362.5
164.80,2300.0
165.20,2250.0
165.60,2275.0
166.00,2300.0
166.40,2525.0
166.80,2250.0
167.20,2362.5
167.60,2637.5
168.00,2725.0
168.40,2175.0
168.80,2325.0
169.20,2062.5
169.60,2262.5
170.00,2550.0
170.40,2537.5
170.80,2725.0
171.20,2650.0
171.60,2400.0
172.00,2350.0
172.40,2487.5
172.80,2387.5
173.20,2500.0
173.60,2562.5
174.00,2250.0
174.40,2550.0
174.80,2275.0
175.20,2412.5
175.60,2812.5
176.00,2275.0
176.40,2662.5
176.80,2425.0
177.20,2387.5
177.60,2300.0
178.00,2175.0
178.40,2350.0
178.80,2200.0
179.20,2425.0
179.60,2350.0
180.00,2212.5
180.40,2237.5
180.80,2050.0
181.20,2125.0
181.60,2375.0
182.00,2050.0
182.40,1925.0
182.80,2125.0
183.20,2050.0
183.60,2312.5
184.00,2012.5
184.40,2225.0
184.80,2012.5
185.20,2175.0
185.60,2125.0
186.00,2362.5
186.40,2387.5
186.80,1912.5
187.20,2300.0
187.60,2275.0
188.00,2237.5
188.40,2037.5
188.80,2375.0
189.20,1875.0
189.60,2400.0
190.00,2150.0
190.40,2350.0
190.80,2125.0
191.20,2262.5
191.60,2237.5
192.00,2350.0
192.40,1912.5
192.80,2350.0
193.20,2137.5
193.60,2262.5
194.00,2325.0
194.40,2037.5
