BindingEnergy_eV,Intensity
9254.00,3.498250
9253.00,2.561620
9252.00,3.580540
9251.00,2.669150
9250.00,2.558180
9249.00,2.763750
9248.00,3.333680
9247.00,2.301680
9246.00,2.572740
9245.00,1.510040
9244.00,1.691280
9243.00,0.833483
9242.00,0.733334
9241.00,0.583647
9240.00,1.337820
9239.00,0.592518
9238.00,0.332381
9237.00,0.774757
9236.00,0.487612
9235.00,0.352321
9234.00,0.610117
9233.00,0.888808
9232.00,0.672496
9231.00,0.589805
9230.00,0.473047
9229.00,0.829787
9228.00,0.630238
9227.00,0.906146
9226.00,0.679934
9225.00,0.660153
9224.00,0.601343
9223.00,0.654967
9222.00,0.475500
9221.00,1.008380
9220.00,0.552644
9219.00,0.866197
9218.00,0.858433
9217.00,0.816440
9216.00,0.628367
9215.00,0.643299
9214.00,0.668045
9213.00,0.657455
9212.00,0.393162
9211.00,1.013300
9210.00,0.454191
9209.00,0.906490
9208.00,0.704544
9207.00,0.639271
9206.00,0.411445
9205.00,0.511439
9204.00,0.656147
9203.00,0.421540
9202.00,0.492621
9201.00,0.575203
9200.00,0.653938
9199.00,1.385810
9198.00,0.668599
9197.00,0.717927
9196.00,0.840989
9195.00,0.403732
9194.00,0.620952
9193.00,1.238020
9192.00,1.078160
9191.00,1.321360
9190.00,0.506776
9189.00,0.561779
9188.00,0.916183
9187.00,1.274670
9186.00,0.802805
9185.00,1.105310
9184.00,0.781697
9183.00,0.928099
9182.00,0.942211
9181.00,0.823039
9180.00,0.756519
9179.00,1.094590
9178.00,1.046180
9177.00,0.813051
9176.00,0.687458
9175.00,1.220270
9174.00,0.721726
9173.00,0.991182
9172.00,1.167680
9171.00,0.725497
9170.00,0.663339
9169.00,0.790511
9168.00,1.149630
9167.00,1.296620
9166.00,1.059550
9165.00,0.990778
9164.00,0.888578
9163.00,1.334110
9162.00,1.354010
9161.00,1.564310
9160.00,0.757354
9159.00,0.783382
9158.00,1.364470
9157.00,1.107020
9156.00,1.438200
9155.00,1.353130
9154.00,1.007580
9153.00,1.636120
9152.00,1.600820
9151.00,1.079320
9150.00,1.464390
9149.00,1.204710
9148.00,1.163060
9147.00,0.922389
9146.00,1.070430
9145.00,0.967390
9144.00,1.122810
9143.00,1.350060
9142.00,1.094450
9141.00,1.264390
9140.00,1.484160
9139.00,1.707520
9138.00,1.542490
9137.00,1.185540
9136.00,1.368270
9135.00,1.405360
9134.00,1.410930
9133.00,1.162940
9132.00,1.535580
9131.00,1.960130
9130.00,1.580780
9129.00,1.412900
9128.00,1.860000
9127.00,1.207510
9126.00,1.647580
9125.00,2.389450
9124.00,1.557980
9123.00,1.720440
9122.00,2.018200
9121.00,2.125360
9120.00,1.554260
9119.00,1.809650
9118.00,1.618000
9117.00,2.410340
9116.00,1.734810
9115.00,1.678550
9114.00,2.321790
9113.00,2.107940
9112.00,2.764560
9111.00,3.596700
9110.00,3.019080
9109.00,2.867780
9108.00,2.939240
9107.00,3.595180
9106.00,2.820150
9105.00,2.531830
9104.00,2.983670
9103.00,3.234020
9102.00,3.732830
9101.00,3.401890
9100.00,3.892830
9099.00,3.758200
9098.00,3.188010
9097.00,4.167150
9096.00,2.785400
9095.00,4.105700
9094.00,3.484080
9093.00,3.871730
9092.00,4.790360
9091.00,4.285110
9090.00,4.114370
9089.00,4.283660
9088.00,4.270410
9087.00,3.944990
9086.00,4.103480
9085.00,5.235470
9084.00,5.190320
9083.00,4.473560
9082.00,4.079980
9081.00,4.254860
9080.00,3.810630
9079.00,5.280220
9078.00,4.380050
9077.00,4.986690
9076.00,4.498430
9075.00,3.987570
9074.00,5.133210
9073.00,5.299620
9072.00,5.074770
9071.00,5.623120
9070.00,4.873330
9069.00,6.126950
9068.00,5.648370
9067.00,5.020220
9066.00,5.693260
9065.00,3.895960
9064.00,4.858290
9063.00,5.273670
9062.00,4.527320
9061.00,5.384520
9060.00,5.299340
9059.00,5.899050
9058.00,5.685850
9057.00,6.097290
9056.00,4.746250
9055.00,5.333960
9054.00,5.570250
9053.00,6.208280
9052.00,6.004940
9051.00,4.767050
9050.00,6.205780
9049.00,6.349620
9048.00,5.754290
9047.00,6.031930
9046.00,6.082030
9045.00,6.463430
9044.00,6.527460
9043.00,5.571610
9042.00,5.845860
9041.00,6.914520
9040.00,7.931710
9039.00,6.498820
9038.00,6.835370
9037.00,6.873080
9036.00,7.022690
9035.00,6.747980
9034.00,7.314730
9033.00,6.359000
9032.00,8.236320
9031.00,7.286230
9030.00,6.179810
9029.00,8.009600
9028.00,6.248650
9027.00,6.906630
9026.00,8.180790
9025.00,8.235710
9024.00,7.904130
9023.00,7.550000
9022.00,7.754310
9021.00,8.274260
9020.00,8.893070
9019.00,8.213540
9018.00,8.742630
9017.00,8.380360
9016.00,8.129670
9015.00,9.743500
9014.00,8.414070
9013.00,9.025680
9012.00,10.106200
9011.00,9.238630
9010.00,9.662140
9009.00,10.177200
9008.00,10.380500
9007.00,9.641900
9006.00,9.932290
9005.00,8.978330
9004.00,10.742200
9003.00,11.360800
9002.00,11.850300
9001.00,11.855200
9000.00,12.946000
8999.00,13.168600
8998.00,12.073200
8997.00,14.673600
8996.00,12.387000
8995.00,14.057200
8994.00,13.150600
8993.00,14.109900
8992.00,15.082600
8991.00,14.110000
8990.00,13.344800
8989.00,14.779900
8988.00,14.178300
8987.00,14.575900
8986.00,16.001500
8985.00,14.992500
8984.00,16.644200
8983.00,17.223900
8982.00,18.024700
8981.00,18.838200
8980.00,17.733700
8979.00,19.162400
8978.00,18.163700
8977.00,17.128700
8976.00,19.795900
8975.00,20.556600
8974.00,21.676300
8973.00,21.130800
8972.00,20.319400
8971.00,23.610500
8970.00,20.334100
8969.00,23.668200
8968.00,23.126000
8967.00,23.649400
8966.00,25.604300
8965.00,26.222100
8964.00,27.727100
8963.00,27.023400
8962.00,28.033100
8961.00,29.081300
8960.00,27.143800
8959.00,28.737800
8958.00,28.041100
8957.00,30.538900
8956.00,30.312800
8955.00,31.675200
8954.00,32.388700
8953.00,32.816500
8952.00,34.233500
8951.00,33.442300
8950.00,36.247700
8949.00,34.173400
8948.00,37.781800
8947.00,37.002100
8946.00,36.759700
8945.00,39.455500
8944.00,41.926200
8943.00,38.850400
8942.00,39.694800
8941.00,41.103200
8940.00,43.020100
8939.00,43.996400
8938.00,43.458200
8937.00,40.366800
8936.00,43.706500
8935.00,44.228400
8934.00,48.662000
8933.00,47.752900
8932.00,47.994900
8931.00,48.314600
8930.00,48.657600
8929.00,49.984600
8928.00,49.461400
8927.00,52.315400
8926.00,51.423600
8925.00,54.153000
8924.00,55.966400
8923.00,52.260700
8922.00,54.550000
8921.00,50.751100
8920.00,56.143800
8919.00,57.152500
8918.00,57.324600
8917.00,58.269000
8916.00,55.476900
8915.00,61.636500
8914.00,56.976900
8913.00,60.360300
8912.00,54.410200
8911.00,59.302900
8910.00,57.709300
8909.00,61.564500
8908.00,61.305900
8907.00,62.579300
8906.00,63.655100
8905.00,61.708600
8904.00,61.019700
8903.00,61.631900
8902.00,63.862800
8901.00,62.741700
8900.00,61.867900
8899.00,61.823400
8898.00,63.578000
8897.00,64.380600
8896.00,60.711800
8895.00,65.640700
8894.00,61.818100
8893.00,65.048800
8892.00,61.070600
8891.00,60.456200
8890.00,67.190100
8889.00,64.370300
8888.00,65.713100
8887.00,67.787900
8886.00,63.856000
8885.00,67.357600
8884.00,64.767000
8883.00,66.383900
8882.00,65.950700
8881.00,65.498700
8880.00,64.683500
8879.00,66.113300
8878.00,62.874000
8877.00,73.799200
8876.00,65.343100
8875.00,67.800000
8874.00,66.966700
8873.00,68.714900
8872.00,67.438600
8871.00,63.850700
8870.00,68.502900
8869.00,67.651900
8868.00,67.456200
8867.00,66.953400
8866.00,64.290900
8865.00,68.011000
8864.00,67.968000
8863.00,66.105000
8862.00,66.360200
8861.00,67.231600
8860.00,69.043400
8859.00,67.910100
8858.00,67.688000
8857.00,70.863100
8856.00,70.646600
8855.00,67.113100
8854.00,64.418500
8853.00,67.881600
8852.00,71.965900
8851.00,67.892400
8850.00,69.312100
8849.00,66.649100
8848.00,70.494700
8847.00,73.034700
8846.00,65.742700
8845.00,71.239800
8844.00,70.697100
8843.00,71.067300
8842.00,71.868500
8841.00,72.067100
8840.00,71.725700
8839.00,67.571100
8838.00,70.751200
8837.00,68.923000
8836.00,70.496400
8835.00,73.389200
8834.00,71.502500
8833.00,71.019000
8832.00,66.538700
8831.00,75.198500
8830.00,71.343500
8829.00,72.881000
8828.00,75.484200
8827.00,76.665500
8826.00,75.027700
8825.00,75.727400
8824.00,72.652900
8823.00,77.052300
8822.00,70.415400
8821.00,73.401500
8820.00,76.182300
8819.00,71.199900
8818.00,71.479700
8817.00,69.844900
8816.00,69.147700
8815.00,70.488900
8814.00,70.011800
8813.00,72.632400
8812.00,69.621100
8811.00,69.178800
8810.00,69.275000
8809.00,63.380200
8808.00,63.236900
8807.00,66.284100
8806.00,61.074400
8805.00,63.348200
8804.00,64.080400
8803.00,59.542600
8802.00,60.964600
8801.00,61.652200
8800.00,59.304900
8799.00,58.464100
8798.00,57.386100
8797.00,61.716900
8796.00,60.330600
8795.00,56.210900
8794.00,57.673400
8793.00,57.255900
8792.00,60.124600
8791.00,60.646400
8790.00,60.774600
8789.00,56.445400
8788.00,57.835800
8787.00,56.408500
8786.00,58.904500
8785.00,62.349200
8784.00,56.310400
8783.00,58.927500
8782.00,58.643400
8781.00,54.385600
8780.00,56.322100
8779.00,57.089800
8778.00,55.898500
8777.00,57.243200
8776.00,54.776300
8775.00,54.022900
8774.00,54.396800
8773.00,54.080200
8772.00,54.081800
8771.00,51.357800
8770.00,56.420100
8769.00,51.222800
8768.00,52.397500
8767.00,53.747300
8766.00,51.859000
8765.00,56.120900
8764.00,52.328900
8763.00,52.709200
8762.00,51.663400
8761.00,48.864700
8760.00,53.085100
8759.00,51.578000
8758.00,51.877000
8757.00,50.411400
8756.00,50.104600
8755.00,49.589700
8754.00,51.822500
8753.00,49.148600
8752.00,48.415500
8751.00,45.582100
8750.00,50.781500
8749.00,47.992700
8748.00,48.343300
8747.00,48.621900
8746.00,49.128600
8745.00,46.733600
8744.00,49.563800
8743.00,46.016600
8742.00,48.014200
8741.00,45.439900
8740.00,46.225900
8739.00,49.196400
8738.00,47.781900
8737.00,47.849900
8736.00,48.833200
8735.00,48.561700
8734.00,46.550100
8733.00,48.275200
8732.00,45.720800
8731.00,48.654100
8730.00,47.451400
8729.00,47.401500
8728.00,48.068100
8727.00,51.743900
8726.00,49.256400
8725.00,50.754400
8724.00,49.248600
8723.00,49.285900
8722.00,50.518100
8721.00,51.153200
8720.00,51.210100
8719.00,47.594600
8718.00,50.701500
8717.00,45.672100
8716.00,48.337500
8715.00,50.506500
8714.00,51.179400
8713.00,47.252900
8712.00,53.686000
8711.00,51.393300
8710.00,52.474800
8709.00,49.885100
8708.00,51.943300
8707.00,49.823800
8706.00,48.482200
8705.00,50.546900
8704.00,50.666500
8703.00,51.356100
8702.00,50.717000
8701.00,51.000700
8700.00,49.861700
8699.00,54.764900
8698.00,53.534100
8697.00,57.213800
8696.00,57.733900
8695.00,54.628400
8694.00,53.741200
8693.00,49.950700
8692.00,54.820100
8691.00,52.513300
8690.00,56.679000
8689.00,51.473500
8688.00,52.101100
8687.00,55.839700
8686.00,52.632900
8685.00,53.740700
8684.00,58.985700
8683.00,54.034300
8682.00,58.150200
8681.00,52.766600
8680.00,55.409100
8679.00,53.700000
8678.00,59.365700
8677.00,59.280300
8676.00,54.330400
8675.00,57.955400
8674.00,60.530900
8673.00,56.075000
8672.00,59.452000
8671.00,59.340200
8670.00,57.692100
8669.00,56.635200
8668.00,55.757300
8667.00,60.805800
8666.00,57.725100
8665.00,59.944700
8664.00,58.275800
8663.00,57.239600
8662.00,55.053900
8661.00,56.647200
8660.00,57.837700
8659.00,60.073300
8658.00,59.096900
8657.00,57.297300
8656.00,59.441300
8655.00,55.090200
8654.00,58.963500
8653.00,56.199800
8652.00,57.001500
8651.00,55.349600
8650.00,57.346300
8649.00,58.939900
8648.00,59.019700
8647.00,59.851200
8646.00,55.759900
8645.00,61.360400
8644.00,59.805200
8643.00,61.787000
8642.00,60.424000
8641.00,60.887600
8640.00,65.885300
8639.00,58.084500
8638.00,58.678500
8637.00,56.502800
8636.00,60.146700
8635.00,59.426400
8634.00,60.243000
8633.00,61.747300
8632.00,59.384100
8631.00,57.446600
8630.00,60.170900
8629.00,61.634500
8628.00,62.490800
8627.00,63.536000
8626.00,62.584400
8625.00,59.799200
8624.00,58.850500
8623.00,61.507400
8622.00,61.250500
8621.00,61.509400
8620.00,62.738800
8619.00,63.000600
8618.00,60.807600
8617.00,63.644700
8616.00,63.874700
8615.00,58.127100
8614.00,61.893500
8613.00,65.041000
8612.00,63.777000
8611.00,59.698000
8610.00,60.526000
8609.00,64.475700
8608.00,63.952100
8607.00,63.138500
8606.00,61.946100
8605.00,64.806500
8604.00,64.292400
8603.00,66.170800
8602.00,66.869900
8601.00,62.357100
8600.00,63.069700
8599.00,67.912800
8598.00,64.566400
8597.00,64.320500
8596.00,64.244700
8595.00,67.861200
8594.00,63.002300
8593.00,63.087800
8592.00,63.694600
8591.00,66.122900
8590.00,66.546200
8589.00,65.347900
8588.00,64.540100
8587.00,67.081100
8586.00,63.991700
8585.00,67.477000
8584.00,67.043800
8583.00,68.472900
8582.00,68.106800
8581.00,67.172700
8580.00,72.212400
8579.00,69.926900
8578.00,69.930900
8577.00,67.411400
8576.00,71.204500
8575.00,67.880500
8574.00,66.799000
8573.00,69.153300
8572.00,66.539100
8571.00,69.034200
8570.00,67.381900
8569.00,70.094300
8568.00,64.415500
8567.00,69.052900
8566.00,64.663100
8565.00,68.376900
8564.00,66.436100
8563.00,69.257900
8562.00,73.265400
8561.00,67.677200
8560.00,71.767000
8559.00,67.173900
8558.00,71.956900
8557.00,69.698900
8556.00,71.878200
8555.00,72.001600
8554.00,72.392100
8553.00,69.377900
8552.00,73.012100
8551.00,69.188600
8550.00,68.190200
8549.00,66.929400
8548.00,68.740900
8547.00,68.042600
8546.00,70.909800
8545.00,70.637700
8544.00,72.607300
8543.00,70.901600
8542.00,69.747400
8541.00,70.736700
8540.00,71.921000
8539.00,70.948900
8538.00,71.197800
8537.00,73.569700
8536.00,72.712400
8535.00,69.529100
8534.00,76.372200
8533.00,73.355100
8532.00,74.819900
8531.00,75.210800
8530.00,75.447600
8529.00,70.311600
8528.00,73.714500
8527.00,72.880300
8526.00,70.993800
8525.00,77.215200
8524.00,69.019000
8523.00,72.839500
8522.00,73.404300
8521.00,73.190700
8520.00,73.509300
8519.00,71.768500
8518.00,72.985900
8517.00,75.731100
8516.00,72.965900
8515.00,74.300100
8514.00,74.979600
8513.00,71.880400
8512.00,74.721300
8511.00,75.473800
8510.00,74.061100
8509.00,74.767700
8508.00,72.954900
8507.00,79.324900
8506.00,77.479200
8505.00,79.858000
8504.00,74.120300
8503.00,81.334800
8502.00,81.136700
8501.00,81.599800
8500.00,82.009100
8499.00,81.340600
8498.00,77.078300
8497.00,83.506600
8496.00,80.080500
8495.00,79.291000
8494.00,74.655600
8493.00,77.984400
8492.00,77.846200
8491.00,73.867900
8490.00,73.622100
8489.00,76.284100
8488.00,71.599300
8487.00,70.550500
8486.00,69.741400
8485.00,69.018400
8484.00,73.274300
8483.00,69.059000
8482.00,69.665800
8481.00,69.272700
8480.00,69.383900
8479.00,66.723200
8478.00,65.154500
8477.00,68.220500
8476.00,69.508400
8475.00,68.921400
8474.00,67.403300
8473.00,65.599000
8472.00,66.278300
8471.00,66.434100
8470.00,67.745100
8469.00,65.298300
8468.00,65.645400
8467.00,65.856400
8466.00,66.551900
8465.00,65.884100
8464.00,66.138800
8463.00,70.336800
8462.00,65.606900
8461.00,65.065000
8460.00,67.297600
8459.00,70.392100
8458.00,67.146900
8457.00,67.622500
8456.00,67.918000
8455.00,66.212600
8454.00,68.407500
8453.00,68.428800
8452.00,67.321400
8451.00,70.751800
8450.00,65.948300
8449.00,63.880500
8448.00,64.136300
8447.00,65.502200
8446.00,67.702800
8445.00,68.004100
8444.00,65.911200
8443.00,70.548200
8442.00,65.970500
8441.00,69.444000
8440.00,68.101100
8439.00,66.115900
8438.00,72.000700
8437.00,67.765300
8436.00,64.122900
8435.00,68.748400
8434.00,70.038700
8433.00,71.181700
8432.00,70.116500
8431.00,68.646800
8430.00,66.708500
8429.00,69.490600
8428.00,70.456300
8427.00,70.390000
8426.00,69.366100
8425.00,71.381300
8424.00,69.777600
8423.00,68.744100
8422.00,71.025400
8421.00,72.055900
8420.00,65.718500
8419.00,69.998900
8418.00,68.510500
8417.00,70.397600
8416.00,70.255900
