BindingEnergy_eV,Intensity
0.00,12.5
0.40,25.0
0.80,25.0
1.20,25.0
1.60,0.0
2.00,0.0
2.40,25.0
2.80,37.5
3.20,12.5
3.60,12.5
4.00,12.5
4.40,37.5
4.80,0.0
5.20,25.0
5.60,50.0
6.00,37.5
6.40,62.5
6.80,62.5
7.20,12.5
7.60,150.0
8.00,87.5
8.40,262.5
8.80,312.5
9.20,450.0
9.60,662.5
10.00,825.0
10.40,975.0
10.80,1000.0
11.20,800.0
11.60,937.5
12.00,1062.5
12.40,1075.0
12.80,1025.0
13.20,1175.0
13.60,900.0
14.00,587.5
14.40,587.5
14.80,425.0
15.20,437.5
15.60,450.0
16.00,275.0
16.40,350.0
16.80,437.5
17.20,350.0
17.60,237.5
18.00,262.5
18.40,275.0
18.80,325.0
19.20,337.5
19.60,187.5
20.00,287.5
20.40,275.0
20.80,350.0
21.20,325.0
21.60,312.5
22.00,387.5
22.40,637.5
22.80,675.0
23.20,787.5
23.60,562.5
24.00,812.5
24.40,887.5
24.80,937.5
25.20,1037.5
25.60,1412.5
26.00,1625.0
26.40,2012.5
26.80,2150.0
27.20,2350.0
27.60,2662.5
28.00,2837.5
28.40,2262.5
28.80,2187.5
29.20,2150.0
29.60,2200.0
30.00,2862.5
30.40,4112.5
30.80,5650.0
31.20,6637.5
31.60,7712.5
32.00,8187.5
32.40,7400.0
32.80,6437.5
33.20,5275.0
33.60,3687.5
34.00,3000.0
34.40,2162.5
34.80,1537.5
35.20,1600.0
35.60,1187.5
36.00,1137.5
36.40,1262.5
36.80,1337.5
37.20,1125.0
37.60,1325.0
38.00,1537.5
38.40,1462.5
38.80,1600.0
39.20,1662.5
39.60,1725.0
40.00,2175.0
40.40,2212.5
40.80,3087.5
41.20,3725.0
41.60,4500.0
42.00,5887.5
42.40,6025.0
42.80,6675.0
43.20,6625.0
43.60,5512.5
44.00,5200.0
44.40,4050.0
44.80,4300.0
45.20,3675.0
45.60,3562.5
46.00,3250.0
46.40,3237.5
46.80,3362.5
47.20,3225.0
47.60,3150.0
48.00,2837.5
48.40,2812.5
48.80,3262.5
49.20,3162.5
49.60,3425.0
50.00,3100.0
50.40,3262.5
50.80,3162.5
51.20,2887.5
51.60,3350.0
52.00,3437.5
52.40,3412.5
52.80,3725.0
53.20,3537.5
53.60,3400.0
54.00,3600.0
54.40,3050.0
54.80,3850.0
55.20,3987.5
55.60,3600.0
56.00,3812.5
56.40,3525.0
56.80,3662.5
57.20,3612.5
57.60,3787.5
58.00,3412.5
58.40,3362.5
58.80,3775.0
59.20,3475.0
59.60,3575.0
60.00,3212.5
60.40,3362.5
60.80,3475.0
61.20,3637.5
61.60,3437.5
62.00,3687.5
62.40,3400.0
62.80,3175.0
63.20,3400.0
63.60,3650.0
64.00,3175.0
64.40,3712.5
64.80,3575.0
65.20,3712.5
65.60,4375.0
66.00,4037.5
66.40,4875.0
66.80,4412.5
67.20,4762.5
67.60,5050.0
68.00,5012.5
68.40,5262.5
68.80,4487.5
69.20,4425.0
69.60,4300.0
70.00,3900.0
70.40,3812.5
70.80,3875.0
71.20,4112.5
71.60,3737.5
72.00,4137.5
72.40,3587.5
72.80,3962.5
73.20,3750.0
73.60,3212.5
74.00,3412.5
74.40,3650.0
74.80,3662.5
75.20,3550.0
75.60,3525.0
76.00,3800.0
76.40,3550.0
76.80,4037.5
77.20,3462.5
77.60,3925.0
78.00,3662.5
78.40,3925.0
78.80,3837.5
79.20,4000.0
79.60,4175.0
80.00,3837.5
80.40,4162.5
80.80,3475.0
81.20,4212.5
81.60,4125.0
82.00,3962.5
82.40,4187.5
82.80,3800.0
83.20,4437.5
83.60,4062.5
84.00,4037.5
84.40,3462.5
84.80,4237.5
85.20,4025.0
85.60,4362.5
86.00,4475.0
86.40,4112.5
86.80,4537.5
87.20,4537.5
87.60,4362.5
88.00,4462.5
88.40,4237.5
88.80,4150.0
89.20,4325.0
89.60,4687.5
90.00,4637.5
90.40,4775.0
90.80,4937.5
91.20,4450.0
91.60,4512.5
92.00,4900.0
92.40,4750.0
92.80,4837.5
93.20,5000.0
93.60,5350.0
94.00,5050.0
94.40,4862.5
94.80,4925.0
95.20,4937.5
95.60,4400.0
96.00,4925.0
96.40,4925.0
96.80,5075.0
97.20,5037.5
97.60,4862.5
98.00,4862.5
98.40,5025.0
98.80,4950.0
99.20,4712.5
99.60,5362.5
100.00,4450.0
100.40,5362.5
100.80,4525.0
101.20,4937.5
101.60,4712.5
102.00,4937.5
102.40,4875.0
102.80,4850.0
103.20,4825.0
103.60,4875.0
104.00,4962.5
104.40,5025.0
104.80,5012.5
105.20,5350.0
105.60,5112.5
106.00,5137.5
106.40,5162.5
106.80,5737.5
107.20,5650.0
107.60,5512.5
108.00,5325.0
108.40,5037.5
108.80,4800.0
109.20,5050.0
109.60,4962.5
110.00,5287.5
110.40,5700.0
110.80,4912.5
111.20,5675.0
111.60,5087.5
112.00,5287.5
112.40,4787.5
112.80,4775.0
113.20,4650.0
113.60,5150.0
114.00,5187.5
114.40,4650.0
114.80,5250.0
115.20,5187.5
115.60,5125.0
116.00,5287.5
116.40,5087.5
116.80,4975.0
117.20,5287.5
117.60,5612.5
118.00,5062.5
118.40,5375.0
118.80,5212.5
119.20,4800.0
119.60,5037.5
120.00,5362.5
120.40,4762.5
120.80,5125.0
121.20,4950.0
121.60,5250.0
122.00,4637.5
122.40,5175.0
122.80,5125.0
123.20,5225.0
123.60,5387.5
124.00,5062.5
124.40,4962.5
124.80,5287.5
125.20,5375.0
125.60,4912.5
126.00,5637.5
126.40,5337.5
126.80,5562.5
127.20,4600.0
127.60,5137.5
128.00,4937.5
128.40,5375.0
128.80,5325.0
129.20,5137.5
129.60,5725.0
130.00,5050.0
130.40,5487.5
130.80,5237.5
131.20,5062.5
131.60,5250.0
132.00,5337.5
132.40,5025.0
132.80,5000.0
133.20,5350.0
